County Code,State Name,County Name
001,Alabama,Autauga
009,Alabama,Blount
017,Alabama,Chambers
021,Alabama,Chilton
033,Alabama,Colbert
045,Alabama,Dale
051,Alabama,Elmore
065,Alabama,Hale
079,Alabama,Lawrence
083,Alabama,Limestone
099,Alabama,Monroe
107,Alabama,Pickens
121,Alabama,Talladega
050,Alaska,Bethel
105,Alaska,Hoonah-Angoon
122,Alaska,Kenai Peninsula
150,Alaska,Kodiak Island
164,Alaska,Lake and Peninsula
180,Alaska,Nome
188,Alaska,Northwest Arctic
198,Alaska,Prince of Wales-Hyder
141,Arkansas,Van Buren
145,Arkansas,White
005,California,Amador
021,California,Glenn
033,California,Lake
043,California,Mariposa
055,California,Napa
089,California,Shasta
099,California,Stanislaus
115,California,Yuba
003,Colorado,Alamosa
013,Colorado,Boulder
014,Colorado,Broomfield
025,Colorado,Crowley
031,Colorado,Denver
035,Colorado,Douglas
047,Colorado,Gilpin
083,Florida,Marion
087,Florida,Monroe
095,Florida,Orange
111,Florida,St. Lucie
119,Florida,Sumter
125,Florida,Union
001,Georgia,Appling
013,Georgia,Barrow
029,Georgia,Bryan
043,Georgia,Candler
055,Georgia,Chattooga
059,Georgia,Clarke
071,Georgia,Colquitt
079,Georgia,Crawford
091,Georgia,Dodge
107,Georgia,Emanuel
113,Georgia,Fayette
123,Georgia,Gilmer
053,Colorado,Hinsdale
057,Colorado,Jackson
059,Colorado,Jefferson
073,Colorado,Lincoln
083,Colorado,Montezuma
095,Colorado,Phillips
105,Colorado,Rio Grande
111,Colorado,San Juan
123,Colorado,Weld
015,Connecticut,Windham
001,Florida,Alachua
013,Florida,Calhoun
023,Florida,Columbia
039,Florida,Gadsden
055,Florida,Highlands
059,Florida,Holmes
073,Florida,Leon
261,Alaska,Valdez-Cordova
270,Alaska,Wade Hampton
003,Arizona,Cochise
013,Arizona,Maricopa
001,Arkansas,Arkansas
009,Arkansas,Boone
019,Arkansas,Clark
029,Arkansas,Conway
043,Arkansas,Drew
051,Arkansas,Garland
061,Arkansas,Howard
071,Arkansas,Johnson
085,Arkansas,Lonoke
097,Arkansas,Montgomery
101,Arkansas,Newton
111,Arkansas,Poinsett
123,Arkansas,St. Francis
129,Arkansas,Searcy
309,Georgia,Wheeler
313,Georgia,Whitfield
319,Georgia,Wilkinson
009,Hawaii,Maui
015,Idaho,Boise
021,Idaho,Boundary
045,Idaho,Gem
051,Idaho,Jefferson
057,Idaho,Latah
067,Idaho,Minidoka
081,Idaho,Teton
005,Illinois,Bond
009,Illinois,Brown
019,Illinois,Champaign
029,Illinois,Coles
035,Illinois,Cumberland
049,Illinois,Effingham
055,Illinois,Franklin
065,Illinois,Hamilton
051,Indiana,Gibson
059,Indiana,Hancock
069,Indiana,Huntington
079,Indiana,Jennings
085,Indiana,Kosciusko
095,Indiana,Madison
105,Indiana,Monroe
115,Indiana,Ohio
125,Indiana,Pike
131,Indiana,Pulaski
139,Indiana,Rush
153,Indiana,Sullivan
173,Indiana,Warrick
179,Indiana,Wells
183,Indiana,Whitley
009,Iowa,Audubon
017,Iowa,Bremer
021,Iowa,Buena Vista
031,Iowa,Cedar
039,Iowa,Clarke
073,Illinois,Henry
077,Illinois,Jackson
079,Illinois,Jasper
089,Illinois,Kane
103,Illinois,Lee
107,Illinois,Logan
121,Illinois,Marion
129,Illinois,Menard
139,Illinois,Moultrie
145,Illinois,Perry
155,Illinois,Putnam
169,Illinois,Schuyler
175,Illinois,Stark
179,Illinois,Tazewell
189,Illinois,Washington
203,Illinois,Woodford
009,Indiana,Blackford
011,Indiana,Boone
021,Indiana,Clay
033,Indiana,DeKalb
125,Georgia,Glascock
129,Georgia,Gordon
131,Georgia,Grady
139,Georgia,Hall
157,Georgia,Jackson
169,Georgia,Jones
175,Georgia,Laurens
187,Georgia,Lumpkin
197,Georgia,Marion
201,Georgia,Miller
217,Georgia,Newton
225,Georgia,Peach
233,Georgia,Polk
243,Georgia,Randolph
253,Georgia,Seminole
265,Georgia,Taliaferro
277,Georgia,Tift
285,Georgia,Troup
293,Georgia,Upson
303,Georgia,Washington
027,Kansas,Clay
029,Kansas,Cloud
039,Kansas,Decatur
049,Kansas,Elk
065,Kansas,Graham
075,Kansas,Hamilton
085,Kansas,Jackson
095,Kansas,Kingman
105,Kansas,Lincoln
115,Kansas,Marion
127,Kansas,Morris
135,Kansas,Ness
145,Kansas,Pawnee
155,Kansas,Reno
163,Kansas,Rooks
173,Kansas,Sedgwick
185,Kansas,Stafford
195,Kansas,Trego
203,Kansas,Wichita
205,Kansas,Wilson
183,Kentucky,Ohio
187,Kentucky,Owen
189,Kentucky,Owsley
199,Kentucky,Pulaski
209,Kentucky,Scott
219,Kentucky,Todd
229,Kentucky,Washington
001,Louisiana,Acadia
013,Louisiana,Bienville
033,Louisiana,East Baton Rouge
053,Louisiana,Jefferson Davis
073,Louisiana,Ouachita
077,Louisiana,Pointe Coupee
089,Louisiana,St. Charles
105,Louisiana,Tangipahoa
115,Louisiana,Vernon
003,Kentucky,Allen
009,Kentucky,Barren
017,Kentucky,Bourbon
025,Kentucky,Breathitt
031,Kentucky,Butler
043,Kentucky,Carter
053,Kentucky,Clinton
063,Kentucky,Elliott
077,Kentucky,Gallatin
087,Kentucky,Green
099,Kentucky,Hart
103,Kentucky,Henry
115,Kentucky,Johnson
121,Kentucky,Knox
137,Kentucky,Lincoln
143,Kentucky,Lyon
151,Kentucky,Madison
157,Kentucky,Marshall
169,Kentucky,Metcalfe
175,Kentucky,Morgan
045,Iowa,Clinton
047,Iowa,Crawford
055,Iowa,Delaware
063,Iowa,Emmet
067,Iowa,Floyd
079,Iowa,Hamilton
087,Iowa,Henry
095,Iowa,Iowa
105,Iowa,Jones
113,Iowa,Linn
121,Iowa,Madison
125,Iowa,Marion
137,Iowa,Montgomery
141,Iowa,O'Brien
151,Iowa,Pocahontas
161,Iowa,Sac
169,Iowa,Story
175,Iowa,Union
